12:44:17  [main] 	Initializing Control Panel
12:44:17  [main] 	Windows Version:  Enterprise  64-bit
12:44:17  [main] 	XAMPP Version: 8.2.12
12:44:17  [main] 	Control Panel Version: 3.3.0  [ Compiled: Apr 6th 2021 ]
12:44:17  [main] 	Running with Administrator rights - good!
12:44:17  [main] 	XAMPP Installation Directory: "c:\xampp\"
12:44:17  [main] 	Checking for prerequisites
12:44:17  [main] 	All prerequisites found
12:44:17  [main] 	Initializing Modules
12:44:17  [Apache] 	XAMPP Apache Service is already running on port 80
12:44:17  [Apache] 	XAMPP Apache Service is already running on port 443
12:44:17  [mysql] 	XAMPP MySQL Service is already running on port 3306
12:44:17  [main] 	The FileZilla module is disabled
12:44:17  [main] 	The Mercury module is disabled
12:44:17  [main] 	The Tomcat module is disabled
12:44:17  [main] 	Enabling autostart for module "Apache"
12:44:17  [main] 	Enabling autostart for module "MySQL"
12:44:17  [main] 	Starting Check-Timer
12:44:17  [main] 	Control Panel Ready
12:44:17  [Apache] 	Autostart aborted: Apache is already running
12:44:17  [mysql] 	Autostart aborted: MySQL is already running
14:40:34  [main] 	Deinitializing Modules
14:40:34  [main] 	Deinitializing Control Panel

